Date,Decile 1,Decile 2,Decile 3,Decile 4,Decile 5,Decile 6,Decile 7,Decile 8,Decile 9,High 10,
10/1/1939, 120 ," 1,768 ", 964 ," 1,171 "," 10,747 "," 54,316 "," 13,327 "," 2,852 "," 1,653 ", 666 
11/1/1939, 163 , 89 , 229 , 165 , 137 , 154 , 178 , 88 , 175 , 92 
12/1/1939," 3,100 "," 76,883 "," 7,475 "," 1,838 "," 2,251 "," 2,765 "," 3,603 "," 1,094 "," 1,409 ", 415 
1/1/1940," 6,220 ", 562 ," 2,426 ", 861 , 441 ," 6,220 "," 345,433 "," 5,413 "," 4,152 "," 32,876 "
2/1/1940," 27,945 "," 4,173 ", 949 , 611 ," 2,709 "," 1,430 ", 954 ," 1,191 ", 817 , 240 
3/1/1940," 1,002 "," 2,913 "," 1,462 ", 895 ," 2,823 "," 1,046 "," 2,294 ", 889 ," 2,576 ", 778 
4/1/1940, 205 ," 5,101 "," 38,251 "," 3,779 "," 207,066 "," 37,175 "," 14,291 "," 1,793 ", 470 , 163 
5/1/1940, 11 , 8 , 9 , 11 , 12 , 11 , 12 , 11 , 10 , 8 
6/1/1940, 166 , 140 , 251 , 207 , 468 , 192 , 250 , 320 , 292 , 261 
7/1/1940," 2,038 ", 787 , 723 , 569 ," 1,199 ", 826 ," 1,033 ", 697 , 420 , 403 
8/1/1940," 2,654 "," 1,080 "," 1,506 "," 3,920 "," 1,419 "," 1,388 "," 6,182 "," 1,778 "," 2,251 "," 5,815 "
9/1/1940," 1,175 ", 611 , 638 , 754 , 723 , 549 , 494 , 602 , 746 ," 1,330 "
10/1/1940," 4,121 ", 121 , 170 , 223 , 371 , 799 , 831 , 778 ," 2,210 ", 442 
11/1/1940, 700 ," 1,931 "," 2,002 "," 34,479 "," 1,001,000 "," 54,316 "," 9,329 "," 1,235,679 "," 12,186 "," 11,424 "
12/1/1940, 80 , 467 ," 2,689 "," 6,529 "," 2,078 "," 15,897 "," 43,195 "," 11,114,445 "," 40,200 "," 1,440 "
1/1/1941, 38 ," 77,438 "," 28,897 "," 2,286 "," 1,680 ", 501 , 513 , 696 , 851 , 506 
2/1/1941," 2,633 ", 877 ," 2,178 "," 2,021 "," 2,475 "," 22,805 "," 6,025 ", 748 ," 20,859 "," 4,378 "
3/1/1941," 62,250 "," 2,601 "," 4,892 "," 5,480 "," 4,825 "," 6,247,500 "," 6,801 "," 1,614 "," 1,602 "," 16,996 "
4/1/1941, 101 , 167 , 195 , 203 , 284 , 380 , 310 ," 2,868 ", 541 , 445 
5/1/1941," 7,743 "," 276,482 "," 8,666 "," 8,509 "," 2,883 "," 5,644 "," 8,206 "," 2,976 "," 3,689 "," 1,968 "
